date,score,level,n_predictions,month,is_anomaly
2014-04-17,0.0078274932317705,NORMAL,5,4,False
2014-04-18,0.1064616020379825,NORMAL,4,4,False
2014-04-19,0.0352549297707199,NORMAL,4,4,False
2014-04-20,0.3043200218722236,NORMAL,4,4,False
2014-04-21,0.2700969172305403,NORMAL,4,4,False
2014-04-22,0.2262654448254585,NORMAL,4,4,False
2014-04-23,0.0328322438581652,NORMAL,5,4,False
2014-04-24,0.152661468175552,NORMAL,5,4,False
2014-04-25,0.1983087147287942,NORMAL,4,4,False
2014-04-26,0.1769374357478413,NORMAL,4,4,False
2014-04-27,0.2121139684984761,NORMAL,4,4,False
2014-04-28,0.2557816867417741,NORMAL,4,4,False
2014-04-29,0.0927261037731565,NORMAL,4,4,False
2014-04-30,0.4378209381047441,WARNING,5,4,True
2014-05-01,0.2630558227263657,NORMAL,5,5,False
2014-05-02,0.028599758146013,NORMAL,4,5,False
2014-05-03,0.0730969260330671,NORMAL,4,5,False
2014-05-04,0.0795522798048691,NORMAL,4,5,False
2014-05-05,0.1622750122453171,NORMAL,4,5,False
2014-05-06,0.140442700899478,NORMAL,4,5,False
2014-05-07,0.1998851558472318,NORMAL,5,5,False
2014-05-08,0.3767531152526319,NORMAL,5,5,False
2014-05-09,0.4860701280654936,WARNING,4,5,True
2014-05-10,0.5164902261655754,WARNING,4,5,True
2014-05-11,0.2491556363052854,NORMAL,4,5,False
2014-05-12,0.2706383650428087,NORMAL,4,5,False
2014-05-13,0.2193364448988638,NORMAL,4,5,False
2014-05-14,0.3984104030861172,NORMAL,5,5,False
2014-05-15,0.2264032863618626,NORMAL,5,5,False
2014-05-16,0.5933583426839104,CRITICAL,4,5,True
2014-05-17,0.6865983835468689,CRITICAL,4,5,True
2014-05-18,0.5628960128220516,WARNING,4,5,True
2014-05-19,0.4469853159809511,NORMAL,4,5,False
2014-05-20,0.2730256525011196,NORMAL,4,5,False
2014-05-21,0.0630544826292215,NORMAL,5,5,False
2014-05-22,0.3495656929182209,NORMAL,5,5,False
2014-05-23,0.2985950599658448,NORMAL,4,5,False
2014-05-24,0.4146810286122845,NORMAL,4,5,False
2014-05-25,0.1464801754948217,NORMAL,4,5,False
2014-05-26,0.1211730241843858,NORMAL,4,5,False
2014-05-27,0.0725170216898452,NORMAL,4,5,False
2014-05-28,0.1591557247972884,NORMAL,5,5,False
2014-05-29,0.4401749965840878,NORMAL,5,5,False
2014-05-30,0.6921872428716914,CRITICAL,4,5,True
2014-05-31,0.5749395406961304,WARNING,4,5,True
2014-06-01,0.6362804644336761,CRITICAL,4,6,True
2014-06-02,0.6252112534265138,CRITICAL,4,6,True
2014-06-03,0.6349676263047112,CRITICAL,4,6,True
2014-06-04,0.022586474091574,NORMAL,5,6,False
2014-06-05,0.1533763849992859,NORMAL,5,6,False
2014-06-06,0.0839469254883448,NORMAL,4,6,False
2014-06-07,0.2605939192884822,NORMAL,4,6,False
