window,lower_days,upper_days,observed_hits,n_events,null_mean,null_std,p_value,q_value,significant_fdr
aggregate,0,365,11,11,8.784,1.3142845962728165,0.0809190809190809,,
imminent,0,30,0,11,0.845,0.8514546376642739,1.0,1.0,False
short_term,30,90,6,11,1.726,1.225938008220644,0.0019980019980019,0.0079920079920079,True
medium_term,90,365,6,11,7.407,1.5301473785227355,0.8981018981018981,1.0,False
imminent_short_term,0,90,6,11,2.529,1.4181533767544323,0.0309690309690309,0.0619380619380619,False
sequence_aggregate,0,365,3,3,2.395,0.7286803139923569,0.5284715284715285,,False
sequence_short_term,30,90,2,3,0.478,0.6192866864385185,0.0599400599400599,,False
