longitude,latitude,radius_km
126.96999999999998,49.317964817756184,300.0
127.04220588893418,49.31753202050133,300.0
127.11438609198571,49.31623378338537,300.0
127.18651493660957,49.31407057027182,300.0
127.25856677692175,49.31104315399196,300.0
127.33051600699427,49.30715261593334,300.0
127.40233707410765,49.30240034546438,300.0
127.474004491947,49.29678803919555,300.0
127.54549285372728,49.29031770007826,300.0
127.61677684523488,49.28299163634225,300.0
127.68783125777077,49.274812460272685,300.0
127.75863100098307,49.265783086828506,300.0
127.8291511155748,49.25590673210346,300.0
127.89936678587465,49.24518691163156,300.0
127.96925335225781,49.23362743853879,300.0
128.03878632340465,49.221232421543334,300.0
128.10794138838534,49.208006262806244,300.0
128.1766944285586,49.19395365563518,300.0
128.24502152927352,49.17907958204352,300.0
128.3128989913637,49.163389310167695,300.0
128.38030334242293,49.14688839154531,300.0
128.44721134785246,49.12958265825726,300.0
128.513600021671,49.111478219936565,300.0
128.57944663707715,49.09258146064742,300.0
128.64472873675678,49.07289903563742,300.0
128.70942414292645,49.05243786796666,300.0
128.77351096710586,49.031205145016834,300.0
128.8369676196114,49.00920831488429,300.0
128.8997728187653,48.98645508266039,300.0
128.96190559981315,48.96295340660298,300.0
129.02334532354487,48.93871149420294,300.0
129.08407168461426,48.91373779814938,300.0
129.14406471955186,48.88804101219767,300.0
129.20330481446814,48.861630066944116,300.0
129.26177271244234,48.834514125511284,300.0
129.3194495205955,48.80670257914808,300.0
129.3763167168439,48.77820504274859,300.0
129.4323561563318,48.74903135029378,300.0
129.48755007754212,48.7191915502201,300.0
129.54188110808374,48.68869590071923,300.0
129.59533227015513,48.657554864972774,300.0
129.64788698568492,48.62577910632636,300.0
129.69952908114934,48.5933794834069,300.0
129.75024279206767,48.56036704518718,300.0
129.8000127671777,48.52675302600187,300.0
129.84882407229222,48.492548840518786,300.0
129.89666219383977,48.45776607866951,300.0
129.9435130420916,48.42241650054313,300.0
129.98936295407867,48.3865120312471,300.0
130.03419869620132,48.350064755738906,300.0
130.07800746653643,48.31308691363231,300.0
130.12077689684546,48.275590893982,300.0
130.16249505428829,48.23758923004996,300.0
130.20315044284743,48.19909459405747,300.0
130.24273200446802,48.160119791925894,300.0
130.28122911991846,48.120677758009904,300.0
130.3186316093778,48.080781549826284,300.0
130.35492973275552,48.04044434278161,300.0
130.39011418974948,47.99967942490201,300.0
130.42417611964882,47.95850019156799,300.0
130.45710710088767,47.91692014025734,300.0
130.4888991503569,47.874952865299015,300.0
130.51954472247976,47.83261205264078,300.0
130.54903670805922,47.78991147463324,300.0
130.57736843290306,47.74686498483306,300.0
130.60453365623465,47.70348651282762,300.0
130.63052656889556,47.65979005908377,300.0
130.65534179134815,47.61578968982289,300.0
130.6789743714845,47.57149953192438,300.0
130.70141978224947,47.526933767859965,300.0
130.72267391908537,47.48210663066065,300.0
130.74273309720417,47.43703239891827,300.0
130.7615940486966,47.39172539182362,300.0
130.77925391948332,47.34619996424277,300.0
130.7957102661168,47.300470501833345,300.0
130.81096105244,47.25455141620225,300.0
130.82500464610985,47.20845714010633,300.0
130.83783981499187,47.162202122697494,300.0
130.84946572343276,47.115800824813405,300.0
130.85988192841884,47.06926771431507,300.0
130.8690883756254,47.02261726147248,300.0
130.87708539536516,46.9758639343994,300.0
130.8838736984413,46.929022194538064,300.0
130.88945437191202,46.88210649219495,300.0
130.8938288747726,46.835131262128364,300.0
130.89699903356092,46.78811091918844,300.0
130.89896703789324,46.74105985401052,300.0
130.89973543593482,46.693992428762265,300.0
130.89930712981212,46.646922972945156,300.0
130.89768537097177,46.59986577925094,300.0
130.89487375549132,46.55283509947328,300.0
130.89087621934763,46.50584514047508,300.0
130.88569703364772,46.458910060211764,300.0
130.87934079982622,46.41204396381079,300.0
130.87181244481602,46.365260899707465,300.0
130.8631172161942,46.31857485583747,300.0
130.8532606773102,46.27199975588581,300.0
130.84224870239805,46.225549455592656,300.0
130.8300874716789,46.179237739115756,300.0
130.81678346645612,46.13307831544967,300.0
130.80234346420758,46.08708481490138,300.0
130.78677453367865,46.041270785622665,300.0
130.77008402997862,45.99564969019859,300.0
130.75227958968495,45.95023490229238,300.0
130.7333691259574,45.90503970334611,300.0
130.7133608236657,45.8600772793373,300.0
130.69226313453282,45.81536071759077,300.0
130.67008477229754,45.770903003646005,300.0
130.64683470789757,45.72671701817915,300.0
130.62252216467664,45.682815533979706,300.0
130.59715661361696,45.63921121298147,300.0
130.57074776859955,45.59591660334729,300.0
130.5433055816943,45.552944136607294,300.0
130.51484023848147,45.5103061248503,300.0
130.48536215340613,45.468014757967836,300.0
130.45488196516743,45.426082100950445,300.0
130.42341053214383,45.38452009123592,300.0
130.39095892785565,45.34334053610886,300.0
130.35753843646611,45.30255511015123,300.0
130.3231605483219,45.26217535274349,300.0
130.2878369555342,45.22221266561576,300.0
130.25157954760107,45.182678310448615,300.0
130.21440040707185,45.143583406523135,300.0
130.17631180525436,45.10493892841946,300.0
130.13732619796497,45.06675570376384,300.0
130.09745622132291,45.02904441102331,300.0
130.05671468758806,44.99181557734779,300.0
130.0151145810434,44.95507957645899,300.0
129.9726690539218,44.918846626585854,300.0
129.9293914223776,44.883126788445864,300.0
129.88529516250253,44.84792996327197,300.0
129.8403939063867,44.81326589088461,300.0
129.79470143822383,44.779144147808346,300.0
129.74823169046084,44.745574145432776,300.0
129.7009987399918,44.71256512821729,300.0
129.65301680439558,44.680126171939165,300.0
129.6043002382172,44.648266181984674,300.0
129.55486352929213,44.616993891682874,300.0
129.5047212951133,44.586317860681426,300.0
129.4538882792407,44.55624647336443,300.0
129.402379347752,44.52678793731158,300.0
129.35020948573504,44.49795028179841,300.0
129.29739379382002,44.46974135633731,300.0
129.2439474847523,44.44216882925891,300.0
129.18988588000371,44.41524018633344,300.0
129.13522440642265,44.38896272943186,300.0
129.07997859292178,44.363343575226345,300.0
129.0241640672025,44.338389653929845,300.0
128.96779655251567,44.314107708074445,300.0
128.91089186445743,44.29050429132816,300.0
128.85346590779946,44.26758576734997,300.0
128.79553467335282,44.24535830868276,300.0
128.7371142348643,44.22382789568393,300.0
128.6782207459443,44.20300031549344,300.0
128.61887043702586,44.182881161038964,300.0
128.55907961235312,44.16347583007805,300.0
128.49886464699867,44.144789524276945,300.0
128.43824198390888,44.12682724832589,300.0
128.37722813097588,44.10959380909078,300.0
128.31583965813556,44.09309381480085,300.0
128.25409319449014,44.07733167427229,300.0
128.19200542545482,44.062311596167525,300.0
128.12959308992694,44.04803758829018,300.0
128.066872977477,44.0345134569153,300.0
128.00386192556024,44.02174280615487,300.0
127.94057681674786,44.00972903735845,300.0
127.87703457597674,43.998475348548716,300.0
127.81325216781673,43.98798473389189,300.0
127.74924659375418,43.97825998320285,300.0
127.68503488949102,43.96930368148481,300.0
127.62063412225766,43.96111820850362,300.0
127.55606138813955,43.95370573839635,300.0
127.49133380941542,43.94706823931419,300.0
127.42646853190672,43.941207473099745,300.0
127.36148272233672,43.936124994998316,300.0
127.29639356569865,43.93182215340337,300.0
127.23121826263142,43.92830008963607,300.0
127.1659740268018,43.925559737758824,300.0
127.10067808229245,43.923601824422676,300.0
127.03534766099382,43.922426868748815,300.0
126.96999999999998,43.92203518224381,300.0
126.90465233900616,43.922426868748815,300.0
126.83932191770754,43.923601824422676,300.0
126.77402597319818,43.925559737758824,300.0
126.70878173736857,43.92830008963607,300.0
126.64360643430133,43.93182215340337,300.0
126.57851727766327,43.936124994998316,300.0
126.51353146809326,43.941207473099745,300.0
126.44866619058455,43.94706823931419,300.0
126.38393861186043,43.95370573839635,300.0
126.31936587774231,43.96111820850362,300.0
126.25496511050896,43.96930368148481,300.0
126.1907534062458,43.97825998320285,300.0
126.12674783218328,43.98798473389189,300.0
126.06296542402325,43.998475348548716,300.0
125.99942318325212,44.00972903735845,300.0
125.93613807443974,44.02174280615487,300.0
125.87312702252297,44.0345134569153,300.0
125.81040691007304,44.04803758829018,300.0
125.74799457454516,44.062311596167525,300.0
125.68590680550983,44.07733167427229,300.0
125.62416034186442,44.09309381480085,300.0
125.56277186902409,44.10959380909078,300.0
125.5017580160911,44.12682724832589,300.0
125.44113535300131,44.144789524276945,300.0
125.38092038764685,44.16347583007805,300.0
125.32112956297411,44.182881161038964,300.0
125.2617792540557,44.20300031549344,300.0
125.20288576513569,44.22382789568393,300.0
125.14446532664716,44.24535830868276,300.0
125.08653409220052,44.26758576734997,300.0
125.02910813554256,44.29050429132816,300.0
124.97220344748432,44.314107708074445,300.0
124.91583593279749,44.338389653929845,300.0
124.86002140707821,44.363343575226345,300.0
124.80477559357733,44.38896272943186,300.0
124.75011411999627,44.41524018633344,300.0
124.69605251524766,44.44216882925891,300.0
124.64260620617995,44.46974135633731,300.0
124.58979051426495,44.49795028179841,300.0
124.53762065224797,44.52678793731158,300.0
124.4861117207593,44.55624647336443,300.0
124.43527870488667,44.586317860681426,300.0
124.38513647070785,44.616993891682874,300.0
124.33569976178276,44.648266181984674,300.0
124.2869831956044,44.680126171939165,300.0
124.23900126000818,44.71256512821729,300.0
124.19176830953914,44.745574145432776,300.0
124.14529856177616,44.779144147808346,300.0
124.09960609361327,44.81326589088461,300.0
124.05470483749744,44.84792996327197,300.0
124.0106085776224,44.883126788445864,300.0
123.96733094607818,44.91884662658586,300.0
123.92488541895659,44.95507957645899,300.0
123.88328531241193,44.99181557734779,300.0
123.84254377867707,45.02904441102331,300.0
123.80267380203502,45.06675570376384,300.0
123.76368819474563,45.10493892841946,300.0
123.72559959292813,45.143583406523135,300.0
123.68842045239892,45.182678310448615,300.0
123.65216304446581,45.22221266561575,300.0
123.61683945167806,45.26217535274349,300.0
123.58246156353387,45.30255511015123,300.0
123.54904107214432,45.34334053610886,300.0
123.51658946785616,45.38452009123592,300.0
123.48511803483255,45.426082100950445,300.0
123.45463784659383,45.468014757967836,300.0
123.4251597615185,45.5103061248503,300.0
123.39669441830567,45.552944136607294,300.0
123.36925223140045,45.59591660334729,300.0
123.34284338638302,45.63921121298147,300.0
123.31747783532333,45.682815533979706,300.0
123.2931652921024,45.72671701817915,300.0
123.26991522770244,45.770903003646005,300.0
123.24773686546715,45.81536071759077,300.0
123.22663917633426,45.8600772793373,300.0
123.20663087404256,45.90503970334611,300.0
123.18772041031502,45.95023490229238,300.0
123.16991597002136,45.99564969019859,300.0
123.15322546632133,46.041270785622665,300.0
123.13765653579239,46.08708481490138,300.0
123.12321653354387,46.13307831544967,300.0
123.10991252832108,46.179237739115756,300.0
123.09775129760192,46.225549455592656,300.0
123.08673932268978,46.27199975588581,300.0
123.07688278380576,46.31857485583747,300.0
123.06818755518397,46.365260899707465,300.0
123.06065920017375,46.41204396381079,300.0
123.05430296635227,46.458910060211764,300.0
123.04912378065234,46.50584514047508,300.0
123.04512624450867,46.55283509947328,300.0
123.04231462902821,46.59986577925094,300.0
123.04069287018787,46.646922972945156,300.0
123.04026456406517,46.693992428762265,300.0
123.04103296210674,46.74105985401052,300.0
123.04300096643905,46.78811091918844,300.0
123.0461711252274,46.835131262128364,300.0
123.05054562808795,46.88210649219495,300.0
123.05612630155868,46.929022194538064,300.0
123.06291460463481,46.9758639343994,300.0
123.07091162437457,47.02261726147248,300.0
123.08011807158114,47.06926771431507,300.0
123.09053427656723,47.115800824813405,300.0
123.10216018500813,47.162202122697494,300.0
123.11499535389012,47.20845714010633,300.0
123.12903894755998,47.25455141620225,300.0
123.14428973388318,47.300470501833345,300.0
123.16074608051666,47.34619996424277,300.0
123.1784059513034,47.39172539182362,300.0
123.19726690279582,47.43703239891827,300.0
123.21732608091462,47.48210663066065,300.0
123.2385802177505,47.526933767859965,300.0
123.2610256285155,47.57149953192438,300.0
123.28465820865183,47.61578968982289,300.0
123.30947343110441,47.65979005908377,300.0
123.33546634376533,47.70348651282762,300.0
123.36263156709693,47.74686498483305,300.0
123.39096329194078,47.78991147463324,300.0
123.42045527752022,47.83261205264078,300.0
123.45110084964308,47.874952865299015,300.0
123.48289289911231,47.91692014025734,300.0
123.51582388035118,47.95850019156799,300.0
123.5498858102505,47.99967942490201,300.0
123.58507026724445,48.04044434278161,300.0
123.62136839062218,48.080781549826284,300.0
123.65877088008153,48.120677758009904,300.0
123.69726799553196,48.160119791925894,300.0
123.73684955715254,48.19909459405747,300.0
123.77750494571168,48.23758923004996,300.0
123.81922310315451,48.275590893982,300.0
123.86199253346354,48.31308691363231,300.0
123.90580130379865,48.350064755738906,300.0
123.95063704592131,48.3865120312471,300.0
123.99648695790836,48.42241650054313,300.0
124.04333780616021,48.45776607866951,300.0
124.09117592770775,48.492548840518786,300.0
124.13998723282229,48.52675302600187,300.0
124.18975720793232,48.56036704518718,300.0
124.24047091885065,48.5933794834069,300.0
124.29211301431505,48.62577910632636,300.0
124.34466772984487,48.657554864972774,300.0
124.39811889191624,48.68869590071923,300.0
124.45244992245786,48.7191915502201,300.0
124.50764384366819,48.74903135029378,300.0
124.56368328315611,48.77820504274859,300.0
124.62055047940447,48.80670257914808,300.0
124.67822728755763,48.834514125511284,300.0
124.73669518553184,48.861630066944116,300.0
124.7959352804481,48.88804101219767,300.0
124.85592831538574,48.91373779814938,300.0
124.91665467645512,48.93871149420294,300.0
124.97809440018683,48.96295340660298,300.0
