window,lower_days,upper_days,observed_hits,n_events,null_mean,null_std,p_value
sequence_aggregate,0,365,3,3,2.395,0.7286803139923569,0.5284715284715285
sequence_short_term,30,90,2,3,0.478,0.6192866864385185,0.059940059940059943
