origin_time,magnitude,region,distance_to_well_km,sequence_id
2013-11-20 02:57:30,4.6,Huanan,279.99677842708815,SEQ1
2017-07-23 07:13:34,5.0,Songyuan,226.1051816347737,SEQ2
2017-08-15 11:58:16,4.6,Songyuan,223.3573525234839,SEQ2
2018-01-04 20:21:08,4.2,Songyuan,233.16200887753072,SEQ2
2018-03-05 06:49:57,4.2,Songyuan,227.56212365568715,SEQ2
2018-05-28 01:50:52,5.7,Songyuan,228.49553814357293,SEQ2
2018-09-15 09:13:10,4.7,Songyuan,233.88637168264378,SEQ2
2018-11-30 15:57:36,4.2,Songyuan,232.41091690524007,SEQ2
2019-05-18 06:24:48,5.1,Songyuan,225.5167000802376,SEQ2
2019-06-03 01:47:10,4.0,Songyuan,225.79531203236883,SEQ2
2020-02-07 08:12:39,4.1,Nenjiang,267.3804497651653,SEQ3
2022-03-16 02:44:32,4.3,Songyuan,229.5052855751076,SEQ4
