lag_days,autocorrelation,confidence_95
0,1.0,0.07903482817746016
1,0.17534212204661553,0.07903482817746016
2,0.11846592465347024,0.07903482817746016
3,0.060905907991430086,0.07903482817746016
4,0.013923478674570881,0.07903482817746016
5,0.13335290367254526,0.07903482817746016
6,0.047905037165369826,0.07903482817746016
7,0.12932787028084172,0.07903482817746016
8,-0.01744559137429006,0.07903482817746016
9,-0.030802239086865305,0.07903482817746016
10,-0.11981781747697293,0.07903482817746016
11,-0.012652512696211857,0.07903482817746016
12,0.13340863220244734,0.07903482817746016
13,0.04659767445301859,0.07903482817746016
14,0.06217086755415006,0.07903482817746016
15,0.039123314163581446,0.07903482817746016
16,0.08120787818467265,0.07903482817746016
17,0.11826171257686603,0.07903482817746016
18,0.04057199831827011,0.07903482817746016
19,0.09970274687340555,0.07903482817746016
20,-0.0122973584368214,0.07903482817746016
21,-0.01837583277897935,0.07903482817746016
22,0.029594886354707944,0.07903482817746016
23,0.040097365319501435,0.07903482817746016
24,0.0039516334432313826,0.07903482817746016
25,-0.007282245403487259,0.07903482817746016
26,0.0015062396155607817,0.07903482817746016
27,-0.03409301712020098,0.07903482817746016
28,0.007600424521279892,0.07903482817746016
29,0.01161362037084017,0.07903482817746016
30,0.03817550266633748,0.07903482817746016
31,0.05655151374650277,0.07903482817746016
32,0.05316051525318316,0.07903482817746016
33,0.056028795637501176,0.07903482817746016
34,0.02773347757788177,0.07903482817746016
35,0.04706577502663608,0.07903482817746016
36,0.017703674491149794,0.07903482817746016
37,0.07743647399882521,0.07903482817746016
38,0.09292808716065182,0.07903482817746016
39,0.08107464926471404,0.07903482817746016
40,0.01095453769201116,0.07903482817746016
